KIperKP,KontrasP,Solidity_Inti,HomogenitasP,Circularity_Inti,Keliling_Inti,LIperLP,KelilingP,EntropiP,LuasNormal_P,EnergiP,Homogenitas_Inti,KelilingNormal_I,Entropi_Inti,Granularity_Inti,RerataGP,SolidityP,Energi_Inti,RerataRP,RerataR_Inti,CircularityP,LuasP,GranularityP,RerataG_Inti,RerataBP,Eccentricity,RerataB_Inti,Kontras_Inti,Luas_Inti
3,23915,1842,0.319685,105.470375,0.088573,99.214684,12.712965,80.388176,1.794264,0.274413,150.085968,0.675742,28382,2040,0.32404,61.847256,0.085702,19.064522,12.818372,17.640303,0.45717,0.816022,540.227966,0.922232,0.470296,2.037611,0.760735,0.842611.0.902941
3,26241,2616,0.308765,103.600311,0.048185,93.909515,16.074003,78.959061,1.789244,0.292388,204.566513,0.672054,34252,3027,0.321027,74.661301,0.046975,29.602291,19.8703,27.850082,0.668448,0.723072,693.336365,0.888753,0.451925,2.713693,0.699294,0.766116.0.864222
3,29848,5118,0.273755,98.945274,0.014319,69.794937,17.217228,59.401096,1.357245,0.434922,238.874634,0.757553,45485,4863,0.303549,81.633347,0.02417,37.259506,24.327057,34.495853,0.793016,0.660306,725.820007,0.871146,0.332776,4.27212,0.461197,0.656216.1.052437
3,21213,2664,0.287638,98.29966,0.037562,65.891243,15.242239,55.145184,1.269667,0.467539,171.627579,0.778367,31956,4248,0.302967,81.552109,0.022253,35.065411,25.349367,33.186462,0.712247,0.690641,770.766052,0.888235,0.310622,2.546845,0.626706,0.663819.0.627119
3,26120,2169,0.315128,103.372116,0.069769,78.355934,12.644011,65.134209,1.475767,0.395999,146.717667,0.729842,34047,3216,0.32024,69.897926,0.041367,24.333473,17.939129,22.776808,0.5446,0.773999,635.315002,0.911311,0.365504,2.023321,0.711248,0.767175.0.67444
3,23583,1857,0.310785,95.665031,0.085938,70.353836,10.850667,55.814377,1.399538,0.414155,116.478844,0.754337,38243,2169,0.324063,89.93222,0.102151,47.055588,32.826504,42.84063,0.936068,0.598056,441.822876,0.848202,0.351749,1.792471,0.502776,0.616662.0.856155
3,30839,2163,0.320448,107.387741,0.082832,94.317772,18.366091,77.909599,1.704712,0.31234,135.399628,0.68289,40491,3459,0.321556,75.066345,0.042527,29.72838,20.995377,26.779808,0.644035,0.729624,577.17157,0.894781,0.436072,2.032895,0.510963,0.761626.0.625325
3,28876,2073,0.29662,95.752251,0.08444,79.868454,5.306487,44.830673,1.471814,0.341337,82.24482,0.756024,50456,3471,0.326532,95.758873,0.052628,63.576958,50.12915,54.087906,1.218377,0.467847,457.146118,0.812868,0.411404,1.95566,0.281189,0.572301.0.597234
3,37029,3882,0.310656,89.342361,0.030877,70.665421,5.940389,39.873158,1.411595,0.369108,108.743645,0.759468,71571,3546,0.327868,98.947357,0.071527,73.976074,44.92688,59.63699,1.493636,0.397038,413.665894,0.744731,0.386572,3.135703,0.713236,0.517374.1.094755
3,27191,2343,0.324258,76.6511,0.062243,86.312691,22.466734,50.250355,1.999278,0.181039,165.270218,0.66211,31220,2133,0.313425,54.583954,0.086231,16.605476,12.013774,13.532495,0.457433,0.813166,331.152832,0.929114,0.567472,2.6625,0.560573,0.870948.1.098453
